
Sl.No.,Date Of Outage,Circle,Division,Sub Division,Section,Voltage,Name of Town,Name Of Sub-Station,Name of Feeder,Area Affected,From (HH:MM),To (HH:MM),Maintenance Type
11,27/JAN/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV ESCI SS,11 KV ESCI FEEDER,"ESCI, Jayabheri Pinevalley",10:00:00,12:00:00,Tree cutting
12,27/JAN/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV ESCI SS,11 KV COMMISIONER OFC FEEDER,"Telecom Nagar, Jayabheri Pine valley, Commissionerate office",10:00:00,12:00:00,Tree cutting
13,27/JAN/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV ESCI SS,11 KV PRASHANTI HILLS ( ESCI SS ) FEEDER,"Prashanth Hills, Raidurgam, MJR, Madura Nagar",12:00:00,14:00:00,Tree cutting
14,28/JAN/2024,MEDCHAL,JEEDIMETLA,JEEDIMETLA,-,11,-,33/11 KV BAHADUR PALLY SS,11 KV IDA-II FEEDER,IDA II Industrial Area,12:00:00,14:00:00,TREE CUTTING
15,28/JAN/2024,MEDCHAL,JEEDIMETLA,JEEDIMETLA,-,11,-,33/11KV DP PALLY SS-II,11 KV MILINEUM FEEDER,"Milinium , Jyothi Milk",10:00:00,12:00:00,TREE CUTTING
16,29/JAN/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,11,-,33/11 KV Chandanagar SS,11KV RAMALAYAM FEEDER,"Huda Trade Centre, Old Lingampally, Sai Baba Temple",10:00:00,12:00:00,Tree cutting
17,29/JAN/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,-,11,-,33/11 KV NALLAGANDLA SS,11 KV JAWAHAR NAVODAYA FEEDER,Jawahar Navodaya,10:00:00,12:00:00,Tree cutting
18,29/JAN/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,-,11,-,33/11 KV NALLAGANDLA SS,11 KV LAXMINI VIHAR FEEDER,Laxmini Vihar,12:00:00,14:00:00,Tree cutting
19,30/JAN/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV Lanco Hills SS,11 KV CHITRAPURI COLONY FEEDER,"Chithrapuri Colony, Sai Iswarya Layout",10:00:00,12:00:00,Tree cutting
20,30/JAN/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV Lanco Hills SS,11KV MIG CHITRAPURI COLONY,"Chitrapuri Colony, MIG, Sai Iswarya",12:00:00,14:00:00,Tree cutting
21,31/JAN/2024,CYBERCITY,GACHIBOWLI,CHANDANAGAR,VASANTHANAGAR,11,-,33/11 KV Rain Tree Park( IJM) SS,11 KV NEW 6TH PHASE FEEDER,"New 6th Phase, KPHB",10:00:00,12:00:00,Tree cutting
22,31/JAN/2024,CYBERCITY,GACHIBOWLI,CHANDANAGAR,VASANTHANAGAR,11,-,33/11 KV KPHB SS,11 KV VI-PHASE  FEEDER,"KPHB Road No.1, KPHB, 6th Phase",12:00:00,14:00:00,Tree cutting
23,01/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,11,-,33/11 KV Chandanagar SS,11 KV ENGINEERS ENCLAVE FEEDER,"Engineer Enclave, Old Police Station Road, Gangaram village area",12:00:00,14:00:00,Tree cutting
24,01/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,11,-,33/11 KV Chandanagar SS,11 KV CHANDANAGAR (NEW) FEEDER,"Chanda Nagar Main Road, Venkateswara Swamy Temple, Chenna Reddy Hospital, Geetha Theater",10:00:00,12:00:00,Tree cutting
25,02/FEB/2024,MEDCHAL,JEEDIMETLA,JEEDIMETLA,-,11,-,33/11 KV BOWRAMPET SS,11 KV AGL FEEDER,"Bowrampet , my space apartments",10:00:00,12:00:00,TREE CUTTING
26,02/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,11,-,33/11 KV Chandanagar SS,11 KV SHANTHINAGAR (CHANDANAGAR) FEEDER,"Shanthi Nagar, Kadimi Hospital, Near Huda Cafe, Venkatadri Nagar, GHMC Me-seva Lane, Vidhya Nursing  Home",12:00:00,14:00:00,Tree cutting
27,02/FEB/2024,MEDCHAL,JEEDIMETLA,SHAPURNAGAR,D.P. PALLY,11,-,33/11 KV D.P.Pally SS,11 KV GANDIMAISAMMA(D.P.PALLY) FEEDER,GANDIMAISAMMA X ROAD,10:00:00,13:00:00,TREE CUTTING
28,02/FEB/2024,MEDCHAL,JEEDIMETLA,JEEDIMETLA,PRAGATHINAGAR,11,-,33/11 KV Aleap SS,11 KV JAGAN STUDIO,"VISHNUPRIYA NAGAR,GEETHANJALI SCHOOL,NRI COLONY,AKSHARA SCHOOL",10:00:00,12:00:00,TREE CUTTING
29,02/FEB/2024,CYBERCITY,GACHIBOWLI,CHANDANAGAR,CHANDANAGAR,11,-,33/11 KV Chandanagar SS,11 KV RTC COLONY FEEDER,"RTC Colony, Mythri Nagar, BHEL MIG-I, II",10:00:00,12:00:00,Tree cutting
30,02/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,11,-,33/11 KV Chandanagar SS,11KV HUDA COLONY (CHANDANAGAR) FEEDER,Chanda Nagar Huda Colony area,10:00:00,12:00:00,Tree cutting
31,03/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,-,11,-,33/11 KV Gachibowli SS,11 KV NETHAJI NAGAR FEEDER,NETAJI NAGAR,12:00:00,02:00:00,Tree Cutting
32,03/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV I.I.T SS,11 KV KENDRIYA VIHAR ( I.I.T SS ) FEEDER,KENDRIYA VIHAR,12:00:00,02:00:00,Tree Cutting
33,03/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV I.I.T SS,11 KV IVRCL ( I.I.T SS ) FEEDER,IVRCL,10:00:00,12:00:00,Tree Cutting
34,03/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV I.I.T SS,11 KV KENDRIYA VIHAR ( I.I.T SS ) FEEDER,"Kendriya Vihar, Venkateswara swamy Temple line, Vinayk Nagar Main Road",12:00:00,14:00:00,Tree cutting
35,03/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV I.I.T SS,11 KV IVRCL ( I.I.T SS ) FEEDER,"IVRCL Appartments, Villas,",10:00:00,12:00:00,Tree cutting
36,03/FEB/2024,CYBERCITY,GACHIBOWLI,CHANDANAGAR,-,11,-,33/11 KV Gachibowli SS,11 KV GULMOHAR PARK FEEDER,Gulmohar Park,10:00:00,12:00:00,Tree Cutting
37,03/FEB/2024,MEDCHAL,JEEDIMETLA,JEEDIMETLA,PRAGATHINAGAR,11,-,33/11 KV Aleap SS,11 KV PANCHAVATI FEEDER,"GODAVARI CUTS,RASARI SCHOOL,DOLLER HOMES",10:00:00,12:00:00,TREE CUTTING
38,04/FEB/2024,MEDCHAL,MEDCHAL,QUTBULLAPUR,GAJULARAMARAM,11,-,33/11 KV Ushamullapudi SS,11 KV ADARSH NAGAR(USHAMULLAPUDI) FEEDER,"Adarsh Nagar,HAl Colony",10:00:00,14:00:00,11KV Tree cutting
39,04/FEB/2024,MEDCHAL,JEEDIMETLA,SHAPURNAGAR,SHAPURNAGAR,11,-,33/11 KV Jeedimetla II SS,11 KV APURUPA COLONY FEEDER,Apurupa Colony,10:00:00,14:00:00,11KV Tree cutting
40,04/FEB/2024,MEDCHAL,JEEDIMETLA,JEEDIMETLA,PRAGATHINAGAR,11,-,33/11 KV Aleap SS,11 KV ALEAP CABLE FEEDER,ALEAP INDUSTRIAL AREA,10:00:00,12:00:00,TREE CUTTING
41,05/FEB/2024,CYBERCITY,GACHIBOWLI,CHANDANAGAR,VASANTHANAGAR,11,-,33/11KV PRAJAY PROPERTIES SS,11 KV SAI HILLS FEEDER,Sai Hills,10:00:00,12:00:00,Tree Cutting
42,05/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,-,11,-,33/11 KV Papi Reddy Colony SS,11 KV DUBEY COLONY FEEDER,DUBEY COLONY,10:00:00,12:00:00,Tree Cutting
43,05/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,-,11,-,33/11 KV Papi Reddy Colony SS,11 KV RAJEEV GRUHAKALPA FEEDER,RAJEEV GRUHA KALA,12:00:00,02:00:00,Tree Cutting
44,05/FEB/2024,CYBERCITY,GACHIBOWLI,CHANDANAGAR,VASANTHANAGAR,11,-,33/11KV PRAJAY PROPERTIES SS,11 KV GOPAL NAGAR FEEDER,Gopal Nagar,12:00:00,02:00:00,Tree Cutting
45,05/FEB/2024,MEDCHAL,JEEDIMETLA,JEEDIMETLA,PRAGATHINAGAR,11,-,33/11 KV Aleap SS,11 KV PRAGATHINAGAR(ALEAP) FEEDER,"PRAGATHI SCHOL,MADHURANAGAR ROAD,BACHPAN SCHOOL,APURUPA COLONY",10:00:00,12:00:00,TREE CUTTING
46,06/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,-,11,-,33/11 KV Papi Reddy Colony SS,11 KV RAJEEV SWAGRUHA FEEDER,RAJEEV SWAGRUHA,12:00:00,02:00:00,Tree Cutting
47,06/FEB/2024,CYBERCITY,GACHIBOWLI,CHANDANAGAR,CHANDANAGAR,11,-,33/11 KV HAFEEZPET S.S,11 KV INDRA REDDY ALLWYN COLONY FEEDER,Allwyn Colony,12:00:00,02:00:00,Tree Cutting
48,06/FEB/2024,CYBERCITY,GACHIBOWLI,CHANDANAGAR,VASANTHANAGAR,11,-,33/11 KV Madinaguda SS,11 KV HANUMAN TEMPLE FEEDER,"Hanuman Temple, ChandaNagar",10:00:00,12:00:00,Tree Cutting
49,06/FEB/2024,MEDCHAL,JEEDIMETLA,JEEDIMETLA,PRAGATHINAGAR,11,-,33/11 KV BOWRAMPET SS,11 KV JUNNRUM FEEDER,"ANAND NAIDU NAGAR,ROYAL VILLAGE,VSR HEIGHTS",10:00:00,12:00:00,TREE CUTTING
50,07/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11KV TNGOS SS,11 KV SECRETARIAT COLONY FEEDER,SECRETARIAT COLONY,12:00:00,02:00:00,Tree Cutting
51,07/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV SANDYA HOTEL SS,TIMMER LAKE COLONY,TIMMER  LAKE COLONY,10:00:00,12:00:00,Tree Cutting
52,07/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11KV TNGOS SS,11 KV KOMARAM BEEM FEEDER,KALOJI,12:00:00,02:00:00,Tree Cutting
53,07/FEB/2024,MEDCHAL,JEEDIMETLA,JEEDIMETLA,PRAGATHINAGAR,11,-,33/11KV PRASHANTH HILLS,11 KV VENKATESWARA TEMPLE FEEDER,"KARACHI BAKERY,RATHNA DEEP SUPER MARKET,ELEPHANT CIECLE",10:00:00,12:00:00,TREE CUTTING
54,07/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11KV TNGOS SS,11 KV KALOJI FEEDER,KALOJI,10:00:00,12:00:00,Tree Cutting
55,08/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV I.I.T SS,11 KV GPRA FEEDER,"Lamxi enclave road, GPRA Quarters, Rock  Enclave, Green Land colony",10:00:00,12:00:00,Tree cutting
56,08/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV Nanakramguda SS,11 KV CHURCH IT PARK FEEDER,CHURCH,10:00:00,12:00:00,Tree Cutting
57,08/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV Nanakramguda SS,11 KV GOLF VIEW FEEDER,GOLF VIEW,12:00:00,02:00:00,Tree Cutting
58,08/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV I.I.T SS,11 KV OLD GACHIBOWLI FEEDER,"Indian Bank line, Old Gachibowli, Indra Nagar, Gachibowli Main Road",12:00:00,14:00:00,Tree cutting
59,09/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11KV JANACHAITANYA SS,11KV SHRIRAM SCHOOL FEEDER,Shriram nagar,10:00:00,12:00:00,Tree cutting
60,09/FEB/2024,MEDCHAL,JEEDIMETLA,JEEDIMETLA,PRAGATHINAGAR,11,-,33/11 KV Aleap SS,11 KV JAGAN STUDIO,"VISHNU PRIYA NAGAR,GTHANJALI SCHOOL,NRI COLONY,AKSHARA SCHOOL",10:00:00,12:00:00,TREE CUTTING
61,09/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV Nanakramguda SS,11 KV TNGOS COLONY FEEDER,TNGOS COLONY,12:00:00,02:00:00,Tree Cutting
62,09/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11KV JANACHAITANYA SS,11KV VASAVI FEEDER,VASAVI,10:00:00,12:00:00,Tree Cutting
63,09/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11KV JANACHAITANYA SS,11KV KEYSTONE SCHOOL FEEDER,Gachibowli,12:00:00,02:00:00,Tree Cutting
64,09/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11KV JANACHAITANYA SS,11KV SHRIRAM SCHOOL FEEDER,SHRIRAM SCHOOL,10:00:00,12:00:00,Tree Cutting
65,10/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV Nanakramguda SS,11 KV NVIDIA FEEDER,Nanakaram Guda,10:00:00,12:00:00,Tree Cutting
66,10/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV Nanakramguda SS,11 KV GOWLIDODDI FEEDER,GowliDoddi,12:00:00,02:00:00,Tree Cutting
67,10/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV Nanakramguda SS,11 KV IIRM FEEDER,Nanakaram Guda,12:00:00,02:00:00,Tree Cutting
68,10/FEB/2024,MEDCHAL,JEEDIMETLA,JEEDIMETLA,PRAGATHINAGAR,11,-,33/11 KV Aleap SS,11 KV RGK FEEDER,"VAISHNAVI LAYOUT,INDIRAMMA PARK,VIJETHA SUPERMARKET NEW",10:00:00,12:00:00,TREE CUTTING
69,10/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV Nanakramguda SS,11 KV PADMASREE FEEDER,Nanakaram Guda,10:00:00,12:00:00,Tree Cutting
70,11/FEB/2024,BANJARA HILLS,ERRAGADDA,BANJARAHILLS,BANJARA HILLS,11,-,33/11 KV NIMS SS,11 KV ERRAMANZIL FEEDER,null,09:30:00,17:30:00,Maintenance Work
71,11/FEB/2024,MEDCHAL,JEEDIMETLA,SHAPURNAGAR,SHAPURNAGAR,11,-,33/11 KV Suraram  SS,11 KV SREERAM NAGAR(SURARAM) FEEDER,"Sriram Nagar, Srikrishna Nagar",10:00:00,13:00:00,11KV Tree cutting
72,12/FEB/2024,CYBERCITY,GACHIBOWLI,CHANDANAGAR,VASANTHANAGAR,11,-,33/11 KV JNTU SS,11 KV BHAGATH SINGH NAGAR(JNTU) FEEDER,Bhagath Singh Nagar,10:00:00,12:00:00,Tree Cutting
73,12/FEB/2024,MEDCHAL,JEEDIMETLA,JEEDIMETLA,-,11,-,33/11 KV BAHADUR PALLY SS,11 KV KATTA MAISAMMA FEEDER,Suraram X roads,10:00:00,12:00:00,TREE CUTTING
74,12/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV Gachibowli SS,11 KV TELEPHONE EXCHANGE(GACHIBOWLI) FEEDER,Telephone Exchange Area,12:00:00,02:00:00,Tree Cutting
75,12/FEB/2024,CYBERCITY,GACHIBOWLI,CHANDANAGAR,VASANTHANAGAR,11,-,33/11 KV JNTU SS,11 KV SAI NAGAR FEEDER,Sai Nagar,10:00:00,02:00:00,Tree Cutting
76,12/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,-,11,-,33/11 KV GOPANPALLY SS,11 KV GOPANPALLY FEEDER,GOPANPALLY,10:00:00,12:00:00,Tree Cutting
77,12/FEB/2024,MEDCHAL,JEEDIMETLA,JEEDIMETLA,PRAGATHINAGAR,11,-,33/11 KV Aleap SS,11 KV DOCTOR'S COLONY(OH) FEEDER,"SHILPA LAYOUT,DOLLER HOMES,ICICI BANK",10:00:00,12:00:00,TREE CUTTING
78,12/FEB/2024,CYBERCITY,GACHIBOWLI,CHANDANAGAR,VASANTHANAGAR,11,-,33/11 KV JNTU SS,11 KV GOKUL PLOTS FEEDER,Gokul Plots,12:00:00,02:00:00,Tree Cutting
79,13/FEB/2024,CYBERCITY,GACHIBOWLI,CHANDANAGAR,CHANDANAGAR,11,-,33/11 KV Madinaguda SS,11 KV ALLWYN COLONY (MADINAGUDA) FEEDER,Allwyn Colony,10:00:00,12:00:00,Tree Cutting
80,13/FEB/2024,CYBERCITY,GACHIBOWLI,CHANDANAGAR,CHANDANAGAR,11,-,33/11 KV HAFEEZPET S.S,11 KV MARTHANDA NAGAR FEEDER,Marthanda Nagar,10:00:00,12:00:00,Tree Cutting
81,13/FEB/2024,MEDCHAL,JEEDIMETLA,JEEDIMETLA,PRAGATHINAGAR,11,-,33/11 KV Aleap SS,11 KV PANCHAVATI FEEDER,"GODAVARI CUTS,RASAR SCHOOL,DOLLER HOMS",10:00:00,12:00:00,TREE CUTTING
82,14/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,-,11,-,33/11 KV NALLAGANDLA SS,11 KV LAKE VIEW FEEDER,Nallagandla,10:00:00,12:00:00,Tree Cutting
83,14/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,-,11,-,33/11 KV NALLAGANDLA SS,11 KV APARNA(NALLAGANDLA SS ) FEEDER,Aparna,12:00:00,02:00:00,Tree Cutting
84,14/FEB/2024,MEDCHAL,JEEDIMETLA,JEEDIMETLA,PRAGATHINAGAR,11,-,33/11KV PRASHANTH HILLS,11 KV VENKATESWARA TEMPLE FEEDER,"KARACHI BAKERY, RATHNA DDEP SUPER MARKET ,ELEPHANT CIRCLE",10:00:00,12:00:00,TREE CUTTING
85,14/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,-,11,-,33/11 KV NALLAGANDLA SS,11 KV NALLAGANDLA FEEDER,Nallagandla Village,12:00:00,02:00:00,Tree Cutting
86,14/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,-,11,-,33/11 KV NALLAGANDLA SS,11 KV LAKE VIEW FEEDER,LAKE VIEW,10:00:00,12:00:00,Tree Cutting
87,14/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,-,11,-,33/11 KV NALLAGANDLA SS,11 KV EPISTOM GLOBAL SCHOOL FEEDER,Bapu Nagar,10:00:00,12:00:00,Tree Cutting
88,15/FEB/2024,MEDCHAL,JEEDIMETLA,JEEDIMETLA,PRAGATHINAGAR,11,-,33/11KV PRASHANTH HILLS,11 KV MITHULA NAGAR FEEDER,"VENKATESHWARA TEMPLE,RK LAYOUT,MITHULA NAGAR, NARAYANA SCHOOL AREA",10:00:00,12:00:00,TREE CUTTING
89,15/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV I.I.T SS,11 KV HOCKEY STADIUM FEEDER,Gachibowli Stadium,12:00:00,02:00:00,Tree Cutting
90,16/FEB/2024,MEDCHAL,JEEDIMETLA,JEEDIMETLA,PRAGATHINAGAR,11,-,33/11 KV BOWRAMPET SS,11 KV JUNNRUM FEEDER,"ANAND NAIDU NAGAR,ROYAL VILLAGE,VSR HEIGHT",10:00:00,12:00:00,TREE CUTTING
91,17/FEB/2024,MEDCHAL,JEEDIMETLA,JEEDIMETLA,PRAGATHINAGAR,11,-,33/11 KV Aleap SS,11 KV DOCTOR'S COLONY(OH) FEEDER,"SHILPA LAYOUT,DOLLER OMES,ICICI BANK",10:00:00,12:00:00,TREE CUTTING
92,17/FEB/2024,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,11,-,33/11 KV SANDYA HOTEL SS,TIMMER LAKE COLONY,TIMMER  LAKE COLONY,10:00:00,12:00:00,Tree Cutting
